,
foreign policy,deal  iran  israel  russia  agreement  nuclear  world  war  bomb  russian  support  country  jewish  sanction  putin  peace  iranian  nation  israeli  cuba  international  jew  ukraine  west  negotiate  palestinian  attack  leader  power  japan
argumentation on opinions,question  point  answer  fact  wrong  agree  argument  reason  case  base  correct  simply  make  suggest  view  assume  completely  clear  argue  simple  statement  disagree  response  opinion  reasonable  logic  position  side  present  give
gun control,gun  people  control  kill  fear  act  violence  shoot  stop  hand  carry  fire  murder  death  threat  weapon  dangerous  happen  attack  nra  responsible  public  tragedy  blame  mass  victim  safety  protect  afraid  safe
women’s rights,choice  life  abortion  choose  woman  support  sex  make  marriage  decision  gay  force  pro  baby  issue  decide  reason  marry  person  give  anti  matter  couple  relationship  personal  legal  birth_control  birth  planned_parenthood  provide
validity and truth claims,fact  lie  claim  truth  true  reality  ignore  real  simply  admit  shame  matter  wrong  prove  public  trust  false  face  statement  honest  attempt  hold  call  refuse  excuse  pretend  hide  accept  action  doubt
religion,religious  religion  freedom  christian  church  god  belief  society  moral  world  culture  faith  practice  muslim  evil  pope  modern  catholic  respect  base  group  accept  true  principle  philosophy  islam  sin  follow  concept  form
higher education,school  student  college  education  high  teacher  public  learn  teach  university  class  test  degree  year  program  kid  graduate  professor  career  math  skill  attend  educate  work  major  academic  board  job  private  grade
tax policy,pay  tax  government  income  benefit  public  fund  cost  cut  program  service  federal  raise  money  taxpayer  social_security  provide  private  low  receive  budget  retirement  revenue  dollar  earn  spending  fee  welfare  spend  support
public health issues,drug  exercise  risk  body  healthy  brain  food  weight  disease  pain  eat  effect  study  drink  diet  fat  research  vaccine  calorie  smoke  problem  sugar  depression  heart  cancer  normal  cure  alcohol  condition  physical
gender and transgender conversations,woman  man  male  female  young  wear  girl  gender  feel  boy  hair  body  sex  dress  sexual  age  face  find  ms  fashion  smile  shoe  clothe  suit  rape  lady  jenner  transgender  desire  difference
population and inflation,high  number  increase  rate  low  population  large  level  average  small  result  growth  reduce  compare  percent  rise  standard  due  raise  measure  total  percentage  decline  drop  effect  fall  include  factor  inflation  grow
2016 primary elections (candidate emphasis),trump  candidate  republican  debate  run  gop  hillary  campaign  sander  bernie_sander  donald_trump  win  bernie  presidential  medium  clinton  fox  primary  supporter  biden  appeal  party  chance  nomination  hillary_clinton  politic  speak  establishment  poll  election
judgments,good  make  bad  thing  idea  sense  point  great  mistake  hard  give  easy  reason  difference  hope  chance  decision  lot  agree  luck  perfect  pretty  put  happen  sound  part  difficult  mind  place  impossible
global economic policy,market  china  price  economy  business  trade  free  economic  chinese  profit  sell  buy  corporation  product  industry  interest  corporate  world  stock  big  consumer  create  demand  government  investment  feed  financial  global  capital  capitalism
journalism,read  article  time  comment  write  story  book  nyt  piece  author  reader  report  mention  writer  column  paper  new_york  interesting  news  publish  find  post  reading  ms  opinion  newspaper  reporter  editorial  journalist  cover
positive artwork/music,love  great  hope  feel  life  heart  experience  share  bring  find  music  hear  wonderful  enjoy  mind  listen  eye  moment  art  beautiful  happy  friend  memory  amazing  learn  sound  remember  song  deep  dream
healthcare,care  health  cost  insurance  patient  medical  doctor  plan  system  provide  treatment  healthcare  hospital  aca  cover  obamacare  medicare  service  coverage  physician  good  company  therapist  practice  affordable  treat  premium  therapy  pay  sick
familial discussions,child  family  parent  kid  friend  life  young  age  live  mother  father  home  adult  grow  son  bear  daughter  wife  husband  generation  raise  single  brother  mom  love  sister  die  feel  dad  learn
class and economics,problem  poor  system  rich  solution  people  economic  society  social  create  policy  class  real  middle_class  poverty  work  blame  solve  wealth  fix  lack  opportunity  wealthy  fail  address  continue  inequality  result  elite  part
police and criminal justice,police  crime  criminal  case  officer  cop  prison  justice  charge  victim  commit  murder  jail  arrest  judge  abuse  system  stop  sentence  innocent  violent  shoot  guilty  behavior  trial  situation  kill  person  evidence  suspect
environmental issues,water  land  grow  energy  oil  california  clean  produce  resource  environment  power  plant  air  source  waste  build  farm  farmer  wind  industry  large  big  gas  coal  environmental  area  supply  fuel  natural  sea
cooking and gastronomy,make  food  add  eat  good  serve  recipe  easy  restaurant  cook  bit  great  taste  table  tip  cut  fresh  nice  chicken  meat  store  meal  minute  half  dinner  wine  delicious  hot  egg  top
2016 primary elections (party emphasis),republican  vote  party  democrat  election  voter  democratic  support  political  politician  congress  democracy  gop  majority  voting  house  interest  elect  win  policy  represent  senate  member  representative  senator  issue  politic  poll  base  favor
legal discussions,law  state  rule  court  case  legal  constitution  government  decision  act  require  texas  citizen  pass  federal  justice  lawyer  protect  judge  congress  apply  robert  decide  intent  process  constitutional  establish  set  enforce  order
climate change,science  study  climate_change  climate  scientist  datum  change  research  show  evidence  base  model  rise  earth  scientific  warm  theory  global  temperature  find  record  planet  result  effect  expert  paper  trend  year  decade  analysis
greece bailout (article),greece  greek  debt  bank  germany  europe  german  economy  country  government  loan  european  euro  economic  crisis  financial  money  austerity  pay  krugman  currency  reform  borrow  banker  default  creditor  leave  union  eurozone  demand
television culture,show  watch  tv  movie  character  funny  video  film  picture  miss  story  photo  real  laugh  audience  interview  interesting  scene  joke  episode  season  series  review  line  star  actor  television  news  king  reality
transportation,drive  car  line  run  travel  walk  road  back  stop  mile  train  time  foot  front  put  horse  fly  driver  park  trip  open  check  wait  seat  close  ride  hit  jump  place  airline
2016 primary elections (republican nominee emphasis),president  obama  bush  run  bill  office  state  elect  administration  policy  governor  clinton  walker  reagan  mr  great  fail  jeb  house  remember  presidency  legacy  promise  wisconsin  christie  rubio  florida  leader  senator  leadership
race in america,black  white  race  american  group  people  community  african  racism  racist  culture  matter  racial  color  identify  person  minority  privilege  america  blow  identity  discrimination  cultural  society  difference  hispanic  individual  skin  asian  hate
cybersecurity,information  security  internet  technology  service  phone  secret  email  computer  government  datum  personal  find  call  ad  access  send  public  account  record  check  apple  provide  online  search  site  privacy  private  agency  include
spending money (likely in reference to politics),money  make  give  big  spend  buy  dollar  time  million  put  save  lose  sell  worth  back  hand  lot  billion  huge  thousand  amount  waste  hundred  run  politician  real  cash  good  small  manage
military conflict (middle east emphasis),war  fight  iraq  isis  military  force  attack  group  enemy  support  middle_east  terrorist  world  send  government  army  destroy  serve  country  syria  turkey  soldier  vietnam  troop  end  conflict  muslim  battle  threat  defeat
work hours,day  work  time  week  hour  hard  leave  back  sit  night  wait  put  summer  long  stay  office  month  room  find  end  start  sleep  set  full  late  break  spend  early  turn  walk
conversation priming,word  speak  hear  comment  find  language  refer  mind  guess  sound  describe  call  post  mention  puzzle  explain  fill  clue  point  bit  fit  term  note  thought  letter  today  kind  phrase  understand  agree
"nikki haley, south carolina governor, calls for removal of confederate battle flag (article)",state  history  flag  south  slavery  war  civil  today  southern  confederate_flag  slave  symbol  fight  represent  fly  remove  american  honor  stand  part  nation  hate  display  union  north  united_state  red  great  racist  proud
soccer discussion,play  game  team  sport  player  great  world  good  win  fan  football  field  big  soccer  match  ball  hit  head  final  athlete  watch  top  fifa  goal  club  run  beat  cup  time  professional
"jon stewart, patron saint of liberal smugness (article)",conservative  liberal  medium  political  leave  side  wing  view  call  anti  hate  social  politic  mr  progressive  brook  idea  extreme  point  ideology  agenda  left  stewart  center  politician  radical  propaganda  public  daily  voice
"“in zimbabwe, we don’t cry for lions” (article)",human  life  live  world  die  death  kill  animal  dog  suffer  nature  lion  end  save  survive  people  humanity  planet  hunt  destroy  specie  loss  dead  cat  understand  alive  protect  natural  human_being  cecil
inside amazon: wrestling big ideas in a bruising workplace (article),job  work  worker  company  pay  business  employee  wage  union  amazon  hire  labor  corporate  employer  ceo  disney  corporation  management  replace  benefit  salary  tech  customer  profit  low  skill  visa  minimum_wage  executive  employ
global immigration,american  country  america  world  nation  citizen  usa  immigrant  europe  united_state  illegal  immigration  border  mexico  foreign  european  india  canada  national  bear  refugee  africa  mexican  rest  french  bring  france  million  indian  native
new york housing discussion,live  city  place  move  home  area  house  build  new_york  local  neighborhood  building  housing  nyc  town  street  community  visit  rent  small  resident  neighbor  mayor  property  project  nice  leave  apartment  large  afford
